tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760000.00 ,neutral,1,null,null,Virgin America,null,cairdin,null,0,@VirginAmerica What @dhepburn said.,null,2015/2/24 11:35,null,Eastern Time (US & Canada)
570301130888122000.00 ,positive,0.3486,null,0,Virgin America,null,jnardino,null,0,@VirginAmerica plus you've added commercials to the experience... tacky.,null,2015/2/24 11:15,null,Pacific Time (US & Canada)
570301083672813000.00 ,neutral,0.6837,null,null,Virgin America,null,yvonnalynn,null,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,null,2015/2/24 11:15,Lets Play,Central Time (US & Canada)
570301031407624000.00 ,negative,1,Bad Flight,0.7033,Virgin America,null,jnardino,null,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",null,2015/2/24 11:15,null,Pacific Time (US & Canada)
570300817074462000.00 ,negative,1,Can't Tell,1,Virgin America,null,jnardino,null,0,@VirginAmerica and it's a really big bad thing about it,null,2015/2/24 11:14,null,Pacific Time (US & Canada)
570300767074181000.00 ,negative,1,Can't Tell,0.6842,Virgin America,null,jnardino,null,0,@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying VA,null,2015/2/24 11:14,null,Pacific Time (US & Canada)
570300616901320000.00 ,positive,0.6745,null,0,Virgin America,null,cjmcginnis,null,0,@VirginAmerica yes . nearly every time I fly VX this 鈥渆ar worm鈥?won鈥檛 go away :),null,2015/2/24 11:13,San Francisco CA,Pacific Time (US & Canada)
570300248553349000.00 ,neutral,0.634,null,null,Virgin America,null,pilot,null,0,@VirginAmerica Really missed a prime opportunity for Men Without Hats parody . there. https://t.co/mWpG7grEZP,null,2015/2/24 11:12,Los Angeles,Pacific Time (US & Canada)
570299953286942000.00 ,positive,0.6559,null,null,Virgin America,null,dhepburn,null,0,@virginamerica Well . I didn't鈥ut NOW I DO! :-D,null,2015/2/24 11:11,San Diego,Pacific Time (US & Canada)
570295459631263000.00 ,positive,1,null,null,Virgin America,null,YupitsTate,null,0,@VirginAmerica it was amazing . and arrived an hour early. You're too good to me.,null,2015/2/24 10:53,Los Angeles,Eastern Time (US & Canada)
570294189143031000.00 ,neutral,0.6769,null,0,Virgin America,null,idk_but_youtube,null,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,null,2015/2/24 10:48,1/1 loner squad,Eastern Time (US & Canada)
570289724453216000.00 ,positive,1,null,null,Virgin America,null,HyperCamiLax,null,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,null,2015/2/24 10:30,NYC,America/New_York
